Electrode,x,y,z
1,6.7091,-5.2918,0.30743
2,7.6342,-3.8641,3.0678
3,7.1457,-2.8688,4.9896
4,5.6866,-1.4793,6.8129
5,3.8068,0,7.8913
6,1.5589,1.2238,8.4404
7,8.8848,-2.6954,1.0883
8,8.7088,-1.8309,3.1871
9,7.9626,0,5.0447
10,5.6866,1.4793,6.8129
11,3.2543,2.4359,7.6088
12,9.0874,0,1.3333
13,9.0765,0,3.1054
14,8.7088,1.8309,3.1871
15,7.1457,2.8688,4.9896
16,5.1216,3.8258,5.9428
17,8.8848,2.6954,1.0883
18,7.6342,3.8641,3.0678
19,6.0212,4.4594,4.3653
20,6.7091,5.2918,0.30743
21,5.4534,5.6825,2.8366
22,4.1578,5.5467,4.6276
23,2.6978,4.7622,6.2977
24,0.96041,3.6955,7.6278
25,-0.68438,1.9552,8.5649
26,4.1272,6.3991,-0.35685
27,2.9684,6.824,2.4301
28,1.49,6.4145,4.7418
29,0.28495,5.4791,6.3833
30,-1.519,3.9099,7.7641
31,0.8501,7.1916,-0.88294
32,0.032152,7.3919,2.1436
33,-0.80095,6.9051,4.6001
34,-2.339,5.9561,6.0036
35,-1.8662,7.3046,-0.62918
36,-2.2986,7.3125,2.3853
37,-3.0118,6.7373,4.1784
38,-4.0235,6.7825,-0.23219
39,-4.667,6.558,2.75
40,-4.4948,5.8312,4.9553
41,-4.037,4.1935,6.9829
42,-3.4148,2.2708,8.2046
43,-2.1383,0.00E+00,8.7919
44,-3.7396,6.5804,-2.9911
45,-5.7558,6.0347,0.051843
46,-6.4378,5.2045,2.9844
47,-6.0616,4.1169,5.3658
48,-5.4811,2.3449,7.0577
49,-6.6767,0,6.4652
50,-7.2806,4.6453,0.13014
51,-7.6655,3.6083,3.1299
52,-7.3544,1.8446,5.224
53,-8.608,2.7388,0.23937
54,-8.4375,1.405,3.2773
55,-7.8299,0,4.6876
56,-8.9967,0,0.48795
57,-8.4375,-1.405,3.2773
58,-7.3544,-1.8446,5.224
59,-5.4811,-2.3449,7.0577
60,-3.4148,-2.2708,8.2046
61,-0.68438,-1.9552,8.5649
62,-8.608,-2.7388,0.23937
63,-7.6655,-3.6083,3.1299
64,-6.0616,-4.1169,5.3658
65,-4.037,-4.1935,6.9829
66,-1.519,-3.9099,7.7641
67,-7.2806,-4.6453,0.13014
68,-6.4378,-5.2045,2.9844
69,-4.4948,-5.8312,4.9553
70,-2.339,-5.9561,6.0036
71,-5.7558,-6.0347,0.051843
72,-4.667,-6.558,2.75
73,-3.0118,-6.7373,4.1784
74,-3.7396,-6.5804,-2.9911
75,-4.0235,-6.7825,-0.23219
76,-2.2986,-7.3125,2.3853
77,-0.80095,-6.9051,4.6001
78,0.28495,-5.4791,6.3833
79,0.96041,-3.6955,7.6278
80,1.5589,-1.2238,8.4404
81,-1.8662,-7.3046,-0.62918
82,0.032152,-7.3919,2.1436
83,1.49,-6.4145,4.7418
84,2.6978,-4.7622,6.2977
85,3.2543,-2.4359,7.6088
86,0.8501,-7.1916,-0.88294
87,2.9684,-6.824,2.4301
88,4.1578,-5.5467,4.6276
89,5.1216,-3.8258,5.9428
90,4.1272,-6.3991,-0.35685
91,5.4534,-5.6825,2.8366
92,6.0212,-4.4594,4.3653
