,Weight vectors,Accuracy,Strategy,Time period,Drowsiness
0,"[[-4.21328585e+00  7.10538836e+02 -3.73423954e+03  1.27491966e+04
   3.01604414e+03 -3.59636872e+00 -2.39303374e+02 -2.57777345e+02
  -4.21328585e+00  7.10538836e+02  3.66541305e+00 -2.05806567e+03
  -1.21983420e+04  1.78118503e+03  2.49207168e+02 -4.67899530e+02]]",0.5346449957228401,PhiID prediction,pre1,awake
1,"[[-5.35495445e+00  4.22783712e+02 -3.06135206e+03  1.30113188e+04
   3.03629490e+03 -4.32207039e+00 -1.92095911e+02 -6.22882073e+02
  -5.35495445e+00  4.22783712e+02  4.56066100e+00 -2.07642214e+03
  -1.23205080e+04  1.88328254e+03  5.22226466e+02 -4.76456776e+02]]",0.5278015397775877,PhiID prediction,pre1,awake
2,"[[-2.94890197e+00  7.29323353e+02 -2.26199374e+03  1.59015512e+04
   1.49553169e+03 -2.07528330e+00 -1.78118007e+02 -3.96904723e+02
  -2.94890197e+00  7.29323353e+02  2.12040153e+00 -1.86316593e+03
  -1.59019822e+04  1.28388935e+03  7.15067594e+02 -3.69489023e+02]]",0.5577416595380668,PhiID prediction,pre1,awake
3,"[[-2.85776636e+00  3.31105712e+02 -2.82361505e+03  9.83754165e+03
   2.66055158e+03 -3.82196943e+00 -3.46320342e+02 -7.22051416e+02
  -2.85776636e+00  3.31105712e+02  3.98649873e+00 -1.56319587e+03
  -9.13336922e+03  1.58212900e+03  4.50144635e+02 -3.93577267e+02]]",0.5526090675791274,PhiID prediction,pre1,awake
4,"[[ 3.20555069e-01  6.89270493e+02 -4.01427307e+03  1.79380382e+04
   3.06696047e+03 -3.87972227e+00 -4.01285002e+02 -6.18496005e+02
   3.20555069e-01  6.89270493e+02  4.08141443e+00 -2.38399469e+03
  -1.76094924e+04  1.61104794e+03  1.07351701e+03 -4.76241814e+02]]",0.5329341317365269,PhiID prediction,pre1,awake
5,"[[-6.84660369e+00  5.18219977e+02 -2.03166532e+03  1.53812499e+04
   1.95785103e+03 -3.18333219e+00  1.78503405e+00 -2.79616801e+02
  -6.84660369e+00  5.18219977e+02  3.36265210e+00 -1.68010681e+03
  -1.41493236e+04  1.41837222e+03  2.79149017e+02 -5.27925392e+02]]",0.5474764756201882,PhiID prediction,pre1,awake
6,"[[-5.52861173e+00  5.03173402e+02 -3.56719945e+03  1.63238772e+04
   3.43800997e+03 -2.18271755e+00 -6.32829769e+01 -5.43563001e+02
  -5.52861174e+00  5.03173402e+02  2.39332136e+00 -1.82558464e+03
  -1.44612145e+04  1.55208712e+03  4.96911096e+02 -8.19665829e+02]]",0.5449101796407185,PhiID prediction,pre1,awake
7,"[[   -3.25192053   386.13459336 -3072.72204032  2933.0920302
   2825.62174303    -4.04345191  -461.6750119   -696.93200057
     -3.25192054   386.13459335     4.31919993 -1436.54623103
  -1922.60112951  1386.52600587   421.82640398  -656.99143954]]",0.5389221556886228,PhiID prediction,pre1,awake
8,"[[-2.90021097e+00  3.96950519e+02 -1.90275958e+03  9.80633305e+03
   1.59606107e+03 -4.41977751e+00 -3.77552064e+02 -4.29231559e+02
  -2.90021097e+00  3.96950519e+02  4.55664347e+00 -1.65293393e+03
  -8.69105761e+03  1.30457323e+03  4.90993712e+02 -5.81758694e+02]]",0.5500427715996579,PhiID prediction,pre1,awake
9,"[[-4.04240733e+00  2.95912114e+02 -9.01362967e+02  1.35687302e+04
   9.32628056e+02 -1.04829749e+00 -3.40798109e+02 -7.21801366e+02
  -4.04240733e+00  2.95912114e+02  1.18874952e+00 -1.02937830e+03
  -1.28631858e+04  1.00340954e+03  4.70244777e+02 -4.38748693e+02]]",0.5594525235243798,PhiID prediction,pre1,awake
10,"[[-3.60026580e+00  6.53614124e+02  1.72548819e+03  2.00363871e+04
  -2.60887356e+03 -3.04564294e+00 -3.99622233e+02 -6.23774743e+01
  -3.60026581e+00  6.53614124e+02  3.38647912e+00 -1.21187411e+03
  -1.88680537e+04  6.93144182e+02  3.14232669e+02 -5.47538031e+02]]",0.5329341317365269,PhiID prediction,pre1,awake
11,"[[-4.52095869e+00  5.11382189e+02 -2.58322507e+03  1.33074033e+04
   2.36714026e+03 -4.17678107e+00 -1.80733190e+02  1.91396612e+02
  -4.52095869e+00  5.11382189e+02  4.28480506e+00 -1.36808826e+03
  -1.25054853e+04  9.49220937e+02 -8.38912891e+01 -5.38974882e+02]]",0.5286569717707442,PhiID prediction,pre1,awake
12,"[[-4.31307265e+00  6.28723701e+02 -3.52683609e+03  1.50314117e+04
   3.12449169e+03 -3.38936586e+00 -1.09217603e+02 -5.84590492e+02
  -4.31307265e+00  6.28723701e+02  3.53190654e+00 -1.63895031e+03
  -1.44298834e+04  1.64662349e+03  2.74533467e+02 -4.06007556e+02]]",0.5483319076133447,PhiID prediction,pre1,awake
13,"[[-7.86608345e+00  1.24213827e+02 -7.40024750e+02  6.17812924e+03
   1.56595611e+03 -3.79221446e+00  2.09680827e+01 -6.96254913e+02
  -7.86608345e+00  1.24213827e+02  3.85964261e+00 -2.03585716e+03
  -5.37395513e+03  1.76626627e+03  6.84610411e+02 -5.55000295e+02]]",0.5355004277159966,PhiID prediction,pre1,awake
14,"[[-5.49731664e+00  5.39950082e+02 -1.70691459e+02  9.39324782e+03
   3.50041489e+01 -2.22393679e+00 -1.38108971e+02 -8.52880400e+01
  -5.49731664e+00  5.39950082e+02  2.29619468e+00 -8.43481110e+02
  -9.03773456e+03  7.74011887e+02 -1.79448928e+02 -4.71722971e+02]]",0.5226689478186484,PhiID prediction,pre1,awake
15,"[[-4.73036987e+00  7.14163904e+02 -3.61335044e+03  1.38060751e+04
   2.90478244e+03 -3.84802657e+00 -2.55053757e+02 -4.49917836e+01
  -4.73036987e+00  7.14163904e+02  4.01573000e+00 -1.30393984e+03
  -1.34494367e+04  1.04567121e+03  4.14391627e+01 -2.90032425e+02]]",0.5363558597091531,PhiID prediction,pre1,awake
16,"[[-2.60369730e+00  4.47796187e+02  8.65958841e+02  1.46199015e+04
  -1.15169384e+03 -2.63059881e+00 -2.67979000e+02 -9.04528622e+02
  -2.60369730e+00  4.47796187e+02  2.65715127e+00 -1.26390052e+03
  -1.45462056e+04  1.04981160e+03  8.68834640e+02 -3.54014301e+02]]",0.5397775876817793,PhiID prediction,pre1,awake
17,"[[-4.14468475e+00  7.85732396e+02 -1.86488277e+03  1.31760490e+04
   1.00607351e+03 -2.56237967e+00 -2.32138806e+02  2.47062523e+01
  -4.14468475e+00  7.85732396e+02  2.73159810e+00 -1.24746226e+03
  -1.31769712e+04  1.03329115e+03 -9.61687086e+01 -4.51404710e+02]]",0.5372112917023096,PhiID prediction,pre1,awake
18,"[[-2.70359053e+00  7.90071938e+02 -1.39553537e+03  1.30083849e+04
   7.64204581e+02 -4.03433505e+00  2.82466704e+01  4.46734706e+02
  -2.70359053e+00  7.90071938e+02  4.09742074e+00 -1.32187233e+03
  -1.27569547e+04  8.19425454e+02 -2.67115461e+02 -5.38501619e+02]]",0.5260906757912746,PhiID prediction,pre1,awake
19,"[[-3.37881782e+00  6.58023846e+02 -1.22669765e+03  1.41207256e+04
   5.39880644e+02 -5.33428804e+00 -2.75125945e+02  2.03086082e+02
  -3.37881782e+00  6.58023846e+02  5.33302965e+00 -1.54345828e+03
  -1.38953148e+04  1.37108435e+03 -3.02234879e+02 -4.23782685e+02]]",0.5124037639007699,PhiID prediction,pre1,awake
