,Weight vectors,Accuracy,Strategy,Time period,Drowsiness
0,"[[  -4.29091743 -100.76161882 -147.24305272 -433.6810347   260.8615504
   -15.48456076   32.63118145 -206.22837904   -4.29091742 -100.76161882
    15.47149202 -509.01422537  438.55248589  337.29901055  294.10484367
    -6.65489876]]",0.5585970915312233,PhiID prediction,pre1,awake
1,"[[  -3.54296943 -107.83713407  627.3274293    48.17978963 -509.03960804
    -9.55053974   25.27774237  309.14648935   -3.54296942 -107.83713407
    10.15101337 -374.37362483  -61.06720114  119.75794982 -153.0104812
   -14.98343797]]",0.5303678357570573,PhiID prediction,pre1,awake
2,"[[  -4.04266528  -57.19422533  454.59886577 -384.10812474 -454.45483119
   -18.30185917   18.85408093 -211.84551509   -4.04266528  -57.19422533
    19.22457955 -659.23592043  384.36640511  605.2094289   168.86522835
   -10.38214298]]",0.544054747647562,PhiID prediction,pre1,awake
3,"[[  -3.25845403 -110.27410535  474.71748194 -300.29254753 -331.06759509
   -18.65057078   36.4000221    63.47145057   -3.25845403 -110.27410535
    19.2203012  -763.426432    286.40367047  417.08659879  194.99889205
   -15.88567652]]",0.525235243798118,PhiID prediction,pre1,awake
4,"[[  -5.94973891 -100.84155327   87.656388   -711.44797492    5.41970252
   -16.75937594   23.46743077 -338.6354149    -5.94973891 -100.84155327
    17.03135557 -439.72888177  704.40724634  319.53819806  372.64473672
    -8.47438018]]",0.5329341317365269,PhiID prediction,pre1,awake
5,"[[  -4.02553642  -71.66329401  236.58220086 -389.54349738 -200.00499898
   -22.38124167   15.72412324   51.72340924   -4.02553642  -71.66329401
    23.30882547 -376.24732957  372.66014414  330.14108125  -99.64865898
   -12.65259558]]",0.5329341317365269,PhiID prediction,pre1,awake
6,"[[  -3.43966917  -32.37740279  493.56318199  -79.86003652 -460.65532192
   -27.69693463   54.6626403   107.95937286   -3.43966917  -32.37740279
    29.56906815 -386.37199009   46.72451329  374.24643488 -162.8771414
   -20.09170717]]",0.5543199315654406,PhiID prediction,pre1,awake
7,"[[  -5.8575909   -44.65537354  122.66281975 -140.89914761 -164.45698438
   -22.59873589    7.27603833 -168.14861596   -5.8575909   -44.65537354
    23.21231464 -189.00327574  126.05468145  297.99310111  -32.28889689
   -17.99408825]]",0.5278015397775877,PhiID prediction,pre1,awake
8,"[[  -2.47545955  -70.54123876  -49.18989092 -326.63064206  131.29472643
   -19.88854112   45.14434857 -135.58774922   -2.47545955  -70.54123876
    20.83173956 -173.89688079  325.679644    198.52008852   27.26731183
   -13.7111805 ]]",0.553464499572284,PhiID prediction,pre1,awake
9,"[[  -4.49601267  -79.09736637   97.50919333 -430.60637732  -44.6842512
    -5.57994615   11.69247141  -35.95436572   -4.49601267  -79.09736637
     6.01873683 -508.85164788  413.5372937   295.05740625  163.03243233
   -16.73037766]]",0.5697177074422584,PhiID prediction,pre1,awake
10,"[[  -4.10583934  -84.98648489  238.24044325  -55.67082452 -164.86222164
   -12.16154972   18.76293959 -105.05881654   -4.10583934  -84.98648489
    12.65758357 -479.34147442   32.28807667  399.57593503   96.23859924
   -18.31438152]]",0.5491873396065012,PhiID prediction,pre1,awake
11,"[[  -7.61529306  -59.17823608  201.27221717 -264.81450166 -221.81321093
   -19.38026678    2.08652693 -140.87808827   -7.61529306  -59.17823608
    19.79835761 -319.2319021   236.43462895  410.86234045  -38.96219786
   -15.52992091]]",0.5526090675791274,PhiID prediction,pre1,awake
12,"[[-8.17822535e-02 -9.79607505e+01  3.15505696e+02 -1.58224747e+02
  -1.46742030e+02 -1.52358069e+01  5.62564519e+01 -7.79126395e+01
  -8.17822536e-02 -9.79607505e+01  1.62296297e+01 -3.43712385e+02
   1.33166671e+02  1.93898787e+02  1.44189331e+02 -1.92245023e+01]]",0.5500427715996579,PhiID prediction,pre1,awake
