metric,performance,drowsiness
0.22609555721283,miss,awake
0.0166110098361969,miss,awake
0.145017668604851,hit,awake
0.22804681956768,hit,awake
0.158769324421883,hit,awake
0.257742196321487,hit,awake
0.295702308416367,hit,awake
0.219534695148468,miss,awake
0.280230939388275,hit,awake
0.208194747567177,hit,awake
0.135796993970871,miss,awake
0.267544746398926,miss,awake
0.0345981977880001,hit,awake
0.0345650352537632,hit,awake
0.071517214179039,miss,awake
0.18218669295311,miss,awake
0.138194978237152,hit,awake
0.149003356695175,hit,awake
0.104276962578297,miss,awake
0.146912157535553,miss,awake
0.13675183057785,hit,awake
0.175424560904503,hit,awake
0.125143691897392,miss,awake
0.154417768120766,miss,awake
0.150194093585014,miss,awake
0.0862094685435295,miss,awake
0.025779128074646,miss,awake
0.111559949815273,hit,awake
0.1058579236269,miss,awake
0.124537296593189,hit,awake
0.00810911040753126,miss,awake
0.163687214255333,miss,awake
0.18974956870079,miss,awake
0.233367711305618,miss,awake
0.0537097975611687,hit,awake
0.120918169617653,miss,awake
0.112634867429733,miss,awake
0.314016997814178,miss,awake
0.259879142045975,hit,awake
0.0412934273481369,hit,awake
0.276223182678223,miss,awake
0.0742351338267326,hit,light drowsy
0.0951947122812271,miss,awake
0.0190750751644373,hit,awake
0.230540961027145,miss,awake
0.00780859310179949,hit,light drowsy
0.0121823707595468,hit,awake
0.201235979795456,miss,awake
0.152610421180725,hit,awake
0.15333403646946,hit,awake
0.0846390277147293,miss,awake
0.100561663508415,miss,light drowsy
0.0775832235813141,miss,awake
0.150486826896667,hit,awake
0.166524693369865,hit,awake
0.132231459021568,hit,awake
0.0983828529715538,miss,awake
0.154908493161201,hit,awake
0.071959562599659,hit,awake
0.0895957797765732,miss,awake
0.0824697241187096,miss,awake
0.094154417514801,miss,awake
0.180852979421616,miss,awake
0.192502722144127,hit,awake
0.10383303463459,hit,awake
0.04450374096632,miss,awake
0.173532083630562,hit,awake
0.106668390333652,hit,light drowsy
0.026173697784543,miss,awake
0.0829598009586334,hit,awake
0.342695951461792,miss,awake
0.00710752513259649,miss,awake
0.0209565293043852,hit,light drowsy
0.0366630665957928,miss,awake
0.0371587872505188,miss,awake
0.0380223579704762,miss,light drowsy
0.129453882575035,hit,light drowsy
0.0584449917078018,hit,awake
0.0265775620937347,hit,awake
0.113010391592979,miss,awake
0.12456713616848,miss,awake
0.0403948277235031,hit,light drowsy
0.165746882557869,miss,light drowsy
0.202349200844765,hit,awake
0.23047810792923,miss,awake
0.0480248741805553,miss,awake
0.0404552668333054,miss,awake
0.0029034826438874,miss,light drowsy
0.0778918564319611,miss,awake
0.187170043587685,miss,awake
0.0444516316056252,miss,light drowsy
0.0047155637294054,miss,awake
0.0318379104137421,hit,light drowsy
0.0379462949931622,miss,light drowsy
0.00580570520833135,hit,light drowsy
0.0652500614523888,miss,light drowsy
0.0835659131407738,miss,awake
0.0669988691806793,miss,light drowsy
0.201951429247856,miss,light drowsy
0.0738186687231064,miss,awake
0.0720952451229095,miss,light drowsy
0.0302938092499971,hit,awake
0.273150354623795,miss,awake
0.173088371753693,miss,awake
0.136747673153877,miss,awake
0.249911963939667,miss,awake
0.00678336387500167,miss,awake
0.0712148249149323,hit,awake
0.0577652230858803,hit,light drowsy
0.0738327577710152,miss,light drowsy
0.0309959892183542,hit,light drowsy
0.0284876879304647,miss,awake
0.0620112605392933,miss,light drowsy
0.219267457723618,throwaway,throwaway
0.029012605547905,hit,heavy drowsy
0.0375712737441063,miss,light drowsy
0.200937867164612,hit,awake
0.238299831748009,hit,awake
0.218578070402145,hit,awake
0.111910417675972,hit,awake
0.0255621951073408,miss,awake
0.0541590414941311,miss,awake
0.0165902599692345,throwaway,throwaway
0.20182478427887,throwaway,throwaway
0.0613549500703812,throwaway,throwaway
0.021715834736824,miss,light drowsy
0.0878496393561363,miss,awake
0.0902396589517593,miss,awake
0.094926081597805,hit,awake
0.0916805416345596,throwaway,throwaway
0.0449679121375084,throwaway,throwaway
0.0664553269743919,miss,light drowsy
0.0105386739596725,miss,light drowsy
0.192663192749023,miss,awake
0.0334636047482491,throwaway,throwaway
0.113832771778107,throwaway,throwaway
0.419960111379623,miss,light drowsy
0.0533665381371975,throwaway,throwaway
0.0423377566039562,throwaway,throwaway
0.131525471806526,throwaway,throwaway
0.000222543574636802,miss,light drowsy
0.0928080305457115,throwaway,throwaway
0.0844335928559303,throwaway,throwaway
0.0494105219841003,miss,heavy drowsy
0.0433364547789097,hit,awake
0.061847273260355,miss,awake
0.0188056901097298,hit,awake
0.244840174913406,hit,awake
0.191081002354622,hit,awake
0.198546886444092,hit,awake
0.00595461810007691,miss,light drowsy
0.0370698757469654,throwaway,throwaway
0.0419661849737167,hit,light drowsy
0.0120912734419107,miss,light drowsy
0.157267972826958,throwaway,throwaway
0.0806600973010063,hit,heavy drowsy
0.0348120480775833,miss,heavy drowsy
0.0313806273043156,miss,light drowsy
0.117191329598427,throwaway,throwaway
0.0205359030514956,throwaway,throwaway
0.0337513871490955,throwaway,throwaway
0.0634755119681358,throwaway,throwaway
0.0763766914606094,throwaway,throwaway
0.111942790448666,throwaway,throwaway
0.366103291511536,throwaway,throwaway
0.0895445942878723,throwaway,throwaway
0.0830297470092773,throwaway,throwaway
0.148182481527328,miss,light drowsy
0.0662208199501038,throwaway,throwaway
0.0371966473758221,throwaway,throwaway
0.0657578557729721,throwaway,throwaway
0.0269126128405333,miss,heavy drowsy
0.0695896223187447,throwaway,throwaway
0.0413572452962399,throwaway,throwaway
0.0768277943134308,throwaway,throwaway
0.0789061412215233,miss,heavy drowsy
0.259080111980438,throwaway,throwaway
0.045638170093298,throwaway,throwaway
0.0174464620649815,throwaway,throwaway
0.0421968176960945,throwaway,throwaway
0.0965787842869759,throwaway,throwaway
0.0875771641731262,throwaway,throwaway
0.194166034460068,throwaway,throwaway
0.0913795903325081,throwaway,throwaway
0.280121862888336,throwaway,throwaway
0.0209898576140404,throwaway,throwaway
0.0263397172093391,throwaway,throwaway
0.120343595743179,throwaway,throwaway
0.10859514772892,throwaway,throwaway
0.258381217718124,throwaway,throwaway
0.0440823435783386,throwaway,throwaway
0.0685334429144859,throwaway,throwaway
0.0340587273240089,throwaway,throwaway
0.0295368079096079,throwaway,throwaway
0.0408062748610973,throwaway,throwaway
0.0414278879761696,throwaway,throwaway
0.180549442768097,throwaway,throwaway
0.0504168793559074,throwaway,throwaway
0.0594359040260315,throwaway,throwaway
0.0864455550909042,throwaway,throwaway
0.0281377770006657,throwaway,throwaway
0.0290528200566769,throwaway,throwaway
0.0791367366909981,miss,awake
0.0512135811150074,hit,light drowsy
